nama;daerah;keyword;songs
Kicir-Kicir;Jakarta;jakarta;[{'title': 'KICIR KICIR | Lagu Daerah DKI Jakarta - Betawi | Budaya Indonesia | Dongeng Kita', 'url': 'https://www.youtube.com/watch?v=lhZf7qGZzsE&pp=ygUYS2ljaXItS2ljaXIgYXNhbCBKYWthcnRh', 'path': '/songs/KICIR KICIR | Lagu Daerah DKI Jakarta - Betawi | Budaya Indonesia | Dongeng Kita.mp3'}, {'title': 'Tari Daerah ~ Kicir-kicir DKI Jakarta |Rumah Belajar Mawinsya', 'url': 'https://www.youtube.com/watch?v=0EJP74A3Ws4&pp=ygUYS2ljaXItS2ljaXIgYXNhbCBKYWthcnRh', 'path': '/songs/Tari Daerah ~ Kicir-kicir DKI Jakarta |Rumah Belajar Mawinsya.mp3'}, {'title': 'Kicir Kicir (Lagu Daerah Betawi)', 'url': 'https://www.youtube.com/watch?v=CcFbCjM2jsM&pp=ygUYS2ljaXItS2ljaXIgYXNhbCBKYWthcnRh', 'path': '/songs/Kicir Kicir (Lagu Daerah Betawi).mp3'}, {'title': 'Kicir-kicir | Lagu Daerah Jakarta - Instrumental', 'url': 'https://www.youtube.com/watch?v=4q_IwLDMpy0&pp=ygUYS2ljaXItS2ljaXIgYXNhbCBKYWthcnRh', 'path': '/songs/Kicir-kicir | Lagu Daerah Jakarta - Instrumental.mp3'}, {'title': 'senam kicir kicir lomba 2024', 'url': 'https://www.youtube.com/watch?v=NzWTp-eX02g&pp=ygUYS2ljaXItS2ljaXIgYXNhbCBKYWthcnRh', 'path': '/songs/senam kicir kicir lomba 2024.mp3'}]
Ondel Ondel;jakarta;Jakarta;[{'title': 'ONDEL ONDEL | Lagu Daerah DKI Jakarta - Betawi | Budaya Indonesia | Dongeng Kita', 'url': 'https://www.youtube.com/watch?v=wardyOl-EHo&pp=ygUYT25kZWwgT25kZWwgYXNhbCBqYWthcnRh', 'path': '/songs/ONDEL ONDEL | Lagu Daerah DKI Jakarta - Betawi | Budaya Indonesia | Dongeng Kita.mp3'}, {'title': 'ONDEL ONDEL 💞 LAGU DAERAH DKI JAKARTA | ONDEL ONDEL BETAWI REMIX', 'url': 'https://www.youtube.com/watch?v=_X39qcf41ZU&pp=ygUYT25kZWwgT25kZWwgYXNhbCBqYWthcnRh', 'path': '/songs/ONDEL ONDEL 💞 LAGU DAERAH DKI JAKARTA | ONDEL ONDEL BETAWI REMIX.mp3'}, {'title': 'ONDEL ONDEL BETAWI 💞 LAGU DAERAH DKI JAKARTA | ONDEL-ONDEL', 'url': 'https://www.youtube.com/watch?v=jUnZINLFE4A&pp=ygUYT25kZWwgT25kZWwgYXNhbCBqYWthcnRh', 'path': '/songs/ONDEL ONDEL BETAWI 💞 LAGU DAERAH DKI JAKARTA | ONDEL-ONDEL.mp3'}, {'title': 'ONDEL ONDEL ✅️ Lagu Daerah DKI Jakarta | Lagu Ondel Ondel Betawi Remix', 'url': 'https://www.youtube.com/watch?v=lLftGwwoqwk&pp=ygUYT25kZWwgT25kZWwgYXNhbCBqYWthcnRh', 'path': '/songs/ONDEL ONDEL ✅️ Lagu Daerah DKI Jakarta | Lagu Ondel Ondel Betawi Remix.mp3'}, {'title': 'Asal-usul Ondel-Ondel | Dongeng Bahasa Indonesia | AKM Literasi SD', 'url': 'https://www.youtube.com/watch?v=7fNZLCA9Fz8&pp=ygUYT25kZWwgT25kZWwgYXNhbCBqYWthcnRh', 'path': '/songs/Asal-usul Ondel-Ondel | Dongeng Bahasa Indonesia | AKM Literasi SD.mp3'}]
Manuk Dadali;jawa barat;jawa barat;"[{'title': 'Lirik Lagu manuk Dadali', 'url': 'https://www.youtube.com/watch?v=2xMLFGA12F0&pp=ygUcTWFudWsgRGFkYWxpIGFzYWwgamF3YSBiYXJhdA%3D%3D', 'path': '/songs/Lirik Lagu manuk Dadali.mp3'}, {'title': 'Tari Manuk Dadali-Jawa Barat || ""Keragaman Budaya Indonesia"" XI IPS 4', 'url': 'https://www.youtube.com/watch?v=fKq0ytQFzLg&pp=ygUcTWFudWsgRGFkYWxpIGFzYWwgamF3YSBiYXJhdA%3D%3D', 'path': '/songs/Tari Manuk Dadali-Jawa Barat || ""Keragaman Budaya Indonesia"" XI IPS 4.mp3'}, {'title': 'Aty Surya - Manuk Dadali', 'url': 'https://www.youtube.com/watch?v=EQezAn4Xf4k&pp=ygUcTWFudWsgRGFkYWxpIGFzYWwgamF3YSBiYXJhdA%3D%3D', 'path': '/songs/Aty Surya - Manuk Dadali.mp3'}, {'title': 'KARAOKE MANUK DADALI   Lagu Daerah Jawa Barat', 'url': 'https://www.youtube.com/watch?v=a4teovwsBHc&pp=ygUcTWFudWsgRGFkYWxpIGFzYWwgamF3YSBiYXJhdA%3D%3D', 'path': '/songs/KARAOKE MANUK DADALI   Lagu Daerah Jawa Barat.mp3'}, {'title': 'Lagu Daerah Manuk Dadali dan Lirik ""Apa Ya Makna Lagu Daerah Kita?""', 'url': 'https://www.youtube.com/watch?v=RENOD--yd2c&pp=ygUcTWFudWsgRGFkYWxpIGFzYWwgamF3YSBiYXJhdA%3D%3D', 'path': '/songs/Lagu Daerah Manuk Dadali dan Lirik ""Apa Ya Makna Lagu Daerah Kita?"".mp3'}]"
